Date,Open,High,Low,Close,Adj_Close,Volume
27-03-2000,3.8125,4.15625,3.8125,4.125,4.125,3675600
28-03-2000,4.125,4.125,4,4.015625,4.015625,1077600
29-03-2000,4,4.03125,3.953125,4,4,437200
30-03-2000,4,4,3.84375,3.84375,3.84375,1883600
31-03-2000,3.734375,3.734375,3.390625,3.390625,3.390625,7931600
3/4/2000,3.5,3.703125,3.4375,3.4375,3.4375,11486800
4/4/2000,3.53125,3.578125,3.09375,3.5,3.5,13136800
5/4/2000,3.46875,3.5625,3.453125,3.484375,3.484375,6349600
6/4/2000,3.5,3.59375,3.46875,3.578125,3.578125,7181200
7/4/2000,3.59375,3.8125,3.59375,3.609375,3.609375,13904800
10/4/2000,3.6875,3.75,3.625,3.640625,3.640625,5280800
11/4/2000,3.578125,3.65625,3.5625,3.578125,3.578125,6590000
12/4/2000,3.546875,3.640625,3.53125,3.578125,3.578125,8546400
13-04-2000,3.578125,3.65625,3.578125,3.613275,3.613275,6874400
14-04-2000,3.609375,3.625,3.53125,3.609375,3.609375,2626000
17-04-2000,3.578125,3.609375,3.515625,3.5625,3.5625,2992000
18-04-2000,3.609375,3.625,3.484375,3.515625,3.515625,2896000
19-04-2000,3.5625,3.65625,3.5625,3.59375,3.59375,4662400
20-04-2000,3.578125,3.6875,3.5625,3.65625,3.65625,4558800
24-04-2000,3.59375,3.65625,3.53125,3.5625,3.5625,3815200
25-04-2000,3.578125,3.78125,3.46875,3.765625,3.765625,4635600
26-04-2000,3.78125,4.125,3.75,3.828125,3.828125,5321200
27-04-2000,3.765625,3.765625,3.640625,3.703125,3.703125,4085200
28-04-2000,3.6875,3.75,3.625,3.75,3.75,3539200
1/5/2000,3.75,3.75,3.609375,3.6875,3.6875,4310000
2/5/2000,3.65625,3.6875,3.609375,3.640625,3.640625,2684400
3/5/2000,3.546875,3.640625,3.515625,3.5625,3.5625,4164400
4/5/2000,3.59375,3.6875,3.5625,3.6875,3.6875,3610400
5/5/2000,3.71875,3.84375,3.71875,3.78125,3.78125,1710800
8/5/2000,3.84375,3.90625,3.796875,3.8125,3.8125,1435600
9/5/2000,3.859375,3.875,3.75,3.75,3.75,1343600
10/5/2000,3.75,3.84375,3.71875,3.796875,3.796875,775200
11/5/2000,3.796875,3.875,3.6875,3.734375,3.734375,2287200
12/5/2000,3.734375,3.921875,3.734375,3.921875,3.921875,768400
15-05-2000,3.875,4.21875,3.875,4.09375,4.09375,1328400
16-05-2000,4.125,4.234375,4.078125,4.125,4.125,1263600
17-05-2000,4.125,4.125,3.953125,4,4,2517200
18-05-2000,4,4.03125,3.859375,3.890625,3.890625,2078800
19-05-2000,3.890625,3.90625,3.828125,3.828125,3.828125,630400
22-05-2000,3.859375,3.921875,3.828125,3.890625,3.890625,629600
23-05-2000,3.875,4,3.875,3.90625,3.90625,867200
24-05-2000,3.90625,4.1875,3.90625,4.109375,4.109375,2265600
25-05-2000,4.078125,4.40625,4.078125,4.328125,4.328125,3015200
26-05-2000,4.359375,4.53125,4.328125,4.5,4.5,2294000
30-05-2000,4.5,4.953125,4.5,4.9375,4.9375,3808800
31-05-2000,4.9375,5.15625,4.9375,5.078125,5.078125,3260000
1/6/2000,5.015625,5.0625,4.84375,4.96875,4.96875,1439200
2/6/2000,4.96875,5.03125,4.640625,4.796875,4.796875,1328000
5/6/2000,4.734375,4.734375,4.515625,4.53125,4.53125,2012800
6/6/2000,4.5625,4.5625,4.203125,4.28125,4.28125,3908800
7/6/2000,4.375,4.65625,4.375,4.625,4.625,2362400
8/6/2000,4.5625,4.625,4.546875,4.625,4.625,1389600
9/6/2000,4.59375,4.75,4.578125,4.625,4.625,1259200
12/6/2000,4.65625,4.734375,4.59375,4.65625,4.65625,828800
13-06-2000,4.625,4.640625,4.546875,4.59375,4.59375,917200
14-06-2000,4.65625,4.65625,4.546875,4.609375,4.609375,1511600
15-06-2000,4.609375,4.65625,4.578125,4.578125,4.578125,719200
16-06-2000,4.59375,4.609375,4.46875,4.5,4.5,1062000
